Gw,YR,MN,TYP,CITY,CSIZk,CCLASS,REGION,REGIAB,COMPANY,GROUP,EC,ACTNAME,NSZZ,RZM,SN0,SN1,A1,A2,PPL,R1,R2,SITE,DR,CLAIMNAME,C1,C2,DI,TR,RS,VAN,VIO,INT,SOL
2,4,3,1,Rytwiany,2,0,13,SK,Zakłady Mechaniczne RT,0,3,0,0,0,1,1,4,0,110,4,0,1,4,0,11,0,1,3,0,0,0,0,0
2,4,3,2,Stalowa Wola,63,0,9,PK,Stalowa Wola foundry,0,3,S,1,0,1,1,2,0,,2,0,0,99,against layofffs,10,0,2,3,2,0,0,0,0
1,4,3,1,Staszów,15,0,13,SK,Zakłady Mechaniczne RT,0,3,S,1,0,1,1,1,0,110,4,0,6,0,0,11,4,1,2,1,0,0,0,0
4,4,3,1,Tomaszów Lubelski,20,0,3,LL,Wytwórnia Sprzętu Komunikacyjnego Tomaszów,0,3,S,1,0,1,1,2,0,10,6,0,1,0,stop bankrupcy,12,0,2,2,1,0,0,0,0
1,4,3,1,Wałbrzych,115,0,1,DS,0,bootleg mining,20,0,0,0,1,1,5,0,,3,0,5,1,legalise bootleg mining,2,13,1,2,2,0,0,0,0
2,4,3,1,Warszawa,1754,3,7,MZ,Cemet,0,3,0,0,0,1,1,2,0,0,3,0,1,0,0,10,0,2,3,3,0,0,0,0
1,4,3,2,Warszawa,1754,3,7,MZ,Warszawa MZA,0,8,SR80,0,0,0,1,2,0,0,2,0,0,0,0,10,0,2,3,1,0,0,0,0
4,4,3,1,Witnica,7,0,4,LS,Mago,0,3,S,1,0,1,1,2,0,300,5,0,1,2,0,6,10,2,3,1,0,0,0,0
1,4,3,2,Wrocław,638,3,1,DS,Kogeneracja,0,4,0,0,0,1,1,2,0,,2,0,1,0,bigger raises,1,0,1,3,2,0,0,0,0
3,4,3,1,Wrocław,638,3,1,DS,Wrocławska Jedynka,0,6,S,1,0,1,1,2,0,50,3,0,4,0,0,10,6,2,2,3,0,0,0,0
4,4,3,1,Wrocław,638,3,1,DS,Wrocławska Jedynka,0,6,S,1,0,1,1,4,0,300,3,0,5,1,management must go,4,0,1,3,0,0,0,0,1
26,4,3,1,Wrocław,638,3,1,DS,Wrocławska Jedynka,0,6,S,1,0,1,1,1,6,150,4,0,1,8,admit back to work,10,6,2,3,3,0,1,0,1
1,4,4,1,Chorzów,110,0,12,SL,IWR Industrieservice,0,7,0,0,0,1,1,4,0,0,2,0,1,0,0,11,0,1,3,2,0,0,0,0
1,4,4,1,Gliwice,182,0,12,SL,Gliwice city,0,17,S,1,0,1,1,2,0,0,3,0,1,0,0,8,0,2,2,2,0,0,0,0
3,4,4,1,Lublin,340,3,3,LL,PKP,0,8,0,0,0,2,2,4,0,300,3,4,3,1,do not delete connections,2,15,2,2,1,0,0,0,0
2,4,4,1,PM,0,99,11,PM,PKP,0,8,S,1,0,2,2,2,0,,4,0,6,2,do not delete connections,2,15,2,2,0,0,0,0,0
4,4,4,1,PM,0,99,11,PM,PKP,0,8,S,1,0,7,7,2,0,15,4,0,6,2,relaunch deleted connections,2,0,2,2,0,0,0,0,0
3,4,4,1,Pyrzyce,13,0,11,PM,Pyrzyce hospital,0,17,0,0,0,1,1,4,0,30,4,0,3,7,0,10,0,2,2,2,0,0,0,0
1,4,4,1,Rybnik,140,0,12,SL,Rybnik power plant,0,4,0,0,0,1,1,2,0,200,3,0,4,0,0,10,0,2,3,0,0,0,0,0
1,4,4,1,Stalowa Wola,63,0,9,PK,Stalowa Wola foundry,0,3,S,1,0,1,1,2,0,0,3,0,1,0,0,10,0,2,3,0,0,0,0,0
7,4,4,1,Szczecin,405,3,16,ZP,Szczecin Nowa shipyard,0,3,S / S80 / OPZZ,1,0,1,1,2,4,10000,3,0,3,2,shipyards are strategic industry,2,15,1,1,0,1,1,0,0
6,4,4,1,Warszawa,1754,3,7,MZ,99,99,99,FA,0,0,9,9,7,3,3500,3,8,5,5,against EUROPEJSKIE FORUM GOSPODARCZE,99,0,2,99,0,0,0,0,0
1,4,4,1,Warszawa,1754,3,7,MZ,Wrocławska Jedynka,0,6,S,1,0,1,1,2,0,5,3,0,2,0,0,2,0,2,1,1,0,0,0,0
1,4,4,1,Wrocław,638,3,1,DS,Wrocławska Jedynka,0,6,S,1,0,1,1,2,0,20,3,0,3,0,0,2,0,2,2,1,0,0,0,0
1,4,4,1,Żnin,14,0,2,KP,Cukrownia Żnin,0,3,Samoobrona,0,0,1,1,4,8,300,4,0,6,1,0,12,0,2,3,3,0,0,0,0
13,4,4,1,Żnin,14,0,2,KP,Cukrownia Żnin,0,3,SLD,0,0,1,1,4,8,25,6,0,1,7,0,12,0,2,3,3,0,0,0,0
1,4,5,1,Częstochowa,227,0,12,SL,Energetyczne systemy Ciepłownicze,0,4,S,1,0,1,1,2,0,30,3,0,1,0,0,6,10,2,3,0,0,0,0,0
2,4,5,2,Gdynia,247,0,11,PM,Gdynia shipyard,0,3,S,1,0,1,1,2,0,0,2,,1,0,government help,2,0,1,1,1,0,0,0,0
1,4,5,1,Gdynia,247,0,11,PM,Gdynia shipyard,0,3,S / S80,1,0,1,1,2,0,200,3,0,1,0,0,8,0,2,3,2,0,0,0,0
1,4,5,1,Kozienice,18,0,7,MZ,PKS Kozienice,0,8,S,1,0,1,1,2,0,30,3,0,2,0,support for kozienice strike,10,0,2,1,3,0,0,0,0
2,4,5,1,Kozienice,18,0,7,MZ,PKS Kozienice,0,8,S,1,0,1,1,1,0,2500,3,0,1,0,support for strikers,6,0,1,5,0,1,0,0,1
1,4,5,1,Kutno,46,0,5,LO,Kutno hospital,0,17,S,1,0,1,1,4,0,0,4,0,1,4,0,1,0,2,3,2,0,0,0,0
1,4,5,1,Lesko,6,0,9,PK,Zespół Szkół Leśnych,0,16,0,0,0,1,1,2,6,0,3,0,1,0,0,4,0,2,3,0,0,0,0,0
5,4,5,1,LO,0,99,5,LO,0,healthcare,17,0,0,0,18,18,4,0,0,1,0,1,0,better contract with NFZ,2,15,1,4,0,0,0,0,0
1,4,5,2,Lublin,340,3,3,LL,ZSO nr 4,0,16,0,0,0,0,1,99,0,0,1,0,1,0,0,4,0,2,3,1,0,0,0,0
